revision_id,page_title,state,article_quality,url
122037,"Staples, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Staples,_Minnesota"
119309,"Chatfield, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Chatfield,_Minnesota"
121802,"Afton, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Afton,_Minnesota"
121679,"Moose Lake, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Moose_Lake,_Minnesota"
124438,"Greenfield, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Greenfield,_Minnesota"
119843,"Mountain Iron, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Mountain_Iron,_Minnesota"
120229,"Caledonia, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Caledonia,_Minnesota"
150680,"Albany, Minnesota",Minnesota,B,"https://en.wikipedia.org/wiki/Albany,_Minnesota"
120313,"Barnesville, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Barnesville,_Minnesota"
122155,"Cokato, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Cokato,_Minnesota"
119624,"Roseau, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Roseau,_Minnesota"
119845,"Breezy Point, Minnesota",Minnesota,B,"https://en.wikipedia.org/wiki/Breezy_Point,_Minnesota"
119846,"Granite Falls, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Granite_Falls,_Minnesota"
119926,"Cohasset, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Cohasset,_Minnesota"
120184,"Foley, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Foley,_Minnesota"
119486,"Glenwood, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Glenwood,_Minnesota"
121686,"Pelican Rapids, Minnesota",Minnesota,B,"https://en.wikipedia.org/wiki/Pelican_Rapids,_Minnesota"
150592,"Osseo, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Osseo,_Minnesota"
120189,"Paynesville, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Paynesville,_Minnesota"
119756,"Mayer, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Mayer,_Minnesota"
124649,"Lake Crystal, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Lake_Crystal,_Minnesota"
122026,"Le Center, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Le_Center,_Minnesota"
119540,"Janesville, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Janesville,_Minnesota"
121454,"Spring Valley, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Spring_Valley,_Minnesota"
120570,"Pequot Lakes, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Pequot_Lakes,_Minnesota"
122077,"Crosslake, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Crosslake,_Minnesota"
122161,"Rockville, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Rockville,_Minnesota"
119630,"Wells, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Wells,_Minnesota"
119603,"Madelia, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Madelia,_Minnesota"
121773,"Crosby, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Crosby,_Minnesota"
119870,"Olivia, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Olivia,_Minnesota"
121550,"Gaylord, Minnesota",Minnesota,B,"https://en.wikipedia.org/wiki/Gaylord,_Minnesota"
120218,"Hawley, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Hawley,_Minnesota"
121200,"Arlington, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/Arlington,_Minnesota"
119874,"Winsted, Minnesota",Minnesota,Start,"https://en.wikipedia.org/wiki/Winsted,_Minnesota"
119499,"St. Bonifacius, Minnesota",Minnesota,Stub,"https://en.wikipedia.org/wiki/St._Bonifacius,_Minnesota"
