,state,regional_division,population,article_title,revision_id,article_quality
0,Alabama,East South Central,5074296.0,"Abbeville, Alabama",104730,Stub
1,Alabama,East South Central,5074296.0,"Adamsville, Alabama",104761,Stub
2,Alabama,East South Central,5074296.0,"Addison, Alabama",105188,Stub
3,Alabama,East South Central,5074296.0,"Akron, Alabama",104726,Stub
4,Alabama,East South Central,5074296.0,"Alabaster, Alabama",105109,Stub
5,Alabama,East South Central,5074296.0,"Albertville, Alabama",104899,Stub
6,Alabama,East South Central,5074296.0,"Alexander City, Alabama",105153,Stub
7,Alabama,East South Central,5074296.0,"Aliceville, Alabama",105086,Start
8,Alabama,East South Central,5074296.0,"Allgood, Alabama",100811,Stub
9,Alabama,East South Central,5074296.0,"Altoona, Alabama",100812,Start
10,Alabama,East South Central,5074296.0,"Andalusia, Alabama",104595,B
11,Alabama,East South Central,5074296.0,"Anderson, Lauderdale County, Alabama",46726043,Start
12,Alabama,East South Central,5074296.0,"Anniston, Alabama",103733,B
13,Alabama,East South Central,5074296.0,"Arab, Alabama",104617,B
14,Alabama,East South Central,5074296.0,"Ardmore, Alabama",104850,Stub
15,Alabama,East South Central,5074296.0,"Argo, Alabama",104764,Stub
16,Alabama,East South Central,5074296.0,"Ariton, Alabama",104630,Start
17,Alabama,East South Central,5074296.0,"Arley, Alabama",105189,B
18,Alabama,East South Central,5074296.0,"Ashford, Alabama",104734,Stub
19,Alabama,East South Central,5074296.0,"Ashland, Alabama",104574,Stub
20,Alabama,East South Central,5074296.0,"Ashville, Alabama",105125,Start
21,Alabama,East South Central,5074296.0,"Athens, Alabama",104851,Stub
22,Alabama,East South Central,5074296.0,"Atmore, Alabama",104682,Stub
23,Alabama,East South Central,5074296.0,"Attalla, Alabama",104688,Start
24,Alabama,East South Central,5074296.0,"Auburn, Alabama",104844,Start
25,Alabama,East South Central,5074296.0,"Autaugaville, Alabama",99880,Start
26,Alabama,East South Central,5074296.0,"Avon, Alabama",104735,Stub
27,Alabama,East South Central,5074296.0,"Babbie, Alabama",104596,Start
28,Alabama,East South Central,5074296.0,"Baileyton, Alabama",104618,Stub
29,Alabama,East South Central,5074296.0,"Bakerhill, Alabama",6022587,Stub
30,Alabama,East South Central,5074296.0,"Banks, Alabama",105096,Start
31,Alabama,East South Central,5074296.0,"Bay Minette, Alabama",99886,Start
32,Alabama,East South Central,5074296.0,"Bayou La Batre, Alabama",104904,Start
33,Alabama,East South Central,5074296.0,"Bear Creek, Alabama",104893,Stub
34,Alabama,East South Central,5074296.0,"Beatrice, Alabama",104923,Stub
35,Alabama,East South Central,5074296.0,"Beaverton, Alabama",104820,Start
36,Alabama,East South Central,5074296.0,"Belk, Alabama",104700,Start
37,Alabama,East South Central,5074296.0,"Benton, Alabama",104859,Start
38,Alabama,East South Central,5074296.0,"Berlin, Alabama",23831085,FA
39,Alabama,East South Central,5074296.0,"Bessemer, Alabama",104765,Stub
40,Alabama,East South Central,5074296.0,"Billingsley, Alabama",99882,Stub
41,Alabama,East South Central,5074296.0,"Birmingham, Alabama",85427,Stub
42,Alabama,East South Central,5074296.0,"Blountsville, Alabama",100813,Stub
43,Alabama,East South Central,5074296.0,"Blue Springs, Alabama",100800,Start
44,Alabama,East South Central,5074296.0,"Boaz, Alabama",104689,Stub
45,Alabama,East South Central,5074296.0,"Boligee, Alabama",104722,Stub
46,Alabama,East South Central,5074296.0,"Bon Air, Alabama",105142,B
47,Alabama,East South Central,5074296.0,"Brantley, Alabama",104609,Stub
48,Alabama,East South Central,5074296.0,"Brent, Alabama",100805,Stub
49,Alabama,East South Central,5074296.0,"Brewton, Alabama",104683,Start
50,Alabama,East South Central,5074296.0,"Bridgeport, Alabama",104745,Start
51,Alabama,East South Central,5074296.0,"Brighton, Alabama",104766,B
52,Alabama,East South Central,5074296.0,"Brilliant, Alabama",104894,Stub
53,Alabama,East South Central,5074296.0,"Brookside, Alabama",104767,Stub
54,Alabama,East South Central,5074296.0,"Brookwood, Alabama",105161,Stub
55,Alabama,East South Central,5074296.0,"Brundidge, Alabama",105098,Start
56,Alabama,East South Central,5074296.0,"Butler, Alabama",104561,Stub
57,Alabama,East South Central,5074296.0,"Calera, Alabama",104556,Stub
58,Alabama,East South Central,5074296.0,"Camp Hill, Alabama",105154,B
59,Alabama,East South Central,5074296.0,"Carbon Hill, Alabama",105168,Start
60,Alabama,East South Central,5074296.0,"Cardiff, Alabama",104769,Stub
61,Alabama,East South Central,5074296.0,"Carolina, Alabama",104597,Stub
62,Alabama,East South Central,5074296.0,"Carrollton, Alabama",105087,Start
63,Alabama,East South Central,5074296.0,"Castleberry, Alabama",104590,Stub
64,Alabama,East South Central,5074296.0,"Cedar Bluff, Alabama",104550,Stub
65,Alabama,East South Central,5074296.0,"Center Point, Alabama",104771,Stub
66,Alabama,East South Central,5074296.0,"Centre, Alabama",104551,Stub
67,Alabama,East South Central,5074296.0,"Centreville, Alabama",100806,Start
68,Alabama,East South Central,5074296.0,"Chatom, Alabama",105178,Start
69,Alabama,East South Central,5074296.0,"Chelsea, Alabama",105110,Stub
70,Alabama,East South Central,5074296.0,"Cherokee, Alabama",104584,B
71,Alabama,East South Central,5074296.0,"Chickasaw, Alabama",104905,Start
72,Alabama,East South Central,5074296.0,"Childersburg, Alabama",105111,Stub
73,Alabama,East South Central,5074296.0,"Citronelle, Alabama",104907,Start
74,Alabama,East South Central,5074296.0,"Clanton, Alabama",104557,Start
75,Alabama,East South Central,5074296.0,"Clay, Alabama",104773,Stub
76,Alabama,East South Central,5074296.0,"Clayhatchee, Alabama",104631,Stub
77,Alabama,East South Central,5074296.0,"Clayton, Alabama",100801,Stub
78,Alabama,East South Central,5074296.0,"Cleveland, Alabama",100816,Stub
79,Alabama,East South Central,5074296.0,"Coaling, Alabama",105162,Stub
80,Alabama,East South Central,5074296.0,"Coffee Springs, Alabama",104713,Stub
81,Alabama,East South Central,5074296.0,"Coffeeville, Alabama",104569,Start
82,Alabama,East South Central,5074296.0,"Coker, Alabama",105163,Stub
83,Alabama,East South Central,5074296.0,"Collinsville, Alabama",104552,Stub
84,Alabama,East South Central,5074296.0,"Colony, Alabama",104620,Stub
85,Alabama,East South Central,5074296.0,"Columbia, Alabama",104736,Start
86,Alabama,East South Central,5074296.0,"Columbiana, Alabama",105112,Start
87,Alabama,East South Central,5074296.0,"Coosada, Alabama",104676,Stub
88,Alabama,East South Central,5074296.0,"Cordova, Alabama",105169,Start
89,Alabama,East South Central,5074296.0,"Cottonwood, Alabama",104737,Stub
90,Alabama,East South Central,5074296.0,"County Line, Alabama",101154,Stub
91,Alabama,East South Central,5074296.0,"Courtland, Alabama",104839,Start
92,Alabama,East South Central,5074296.0,"Cowarts, Alabama",104738,Stub
93,Alabama,East South Central,5074296.0,"Creola, Alabama",104908,Start
94,Alabama,East South Central,5074296.0,"Crossville, Alabama",104660,Stub
95,Alabama,East South Central,5074296.0,"Cuba, Alabama",105135,Stub
96,Alabama,East South Central,5074296.0,"Cullman, Alabama",104621,Start
97,Alabama,East South Central,5074296.0,"Cusseta, Alabama",7960910,Stub
98,Alabama,East South Central,5074296.0,"Dadeville, Alabama",105155,Stub
99,Alabama,East South Central,5074296.0,"Daleville, Alabama",104632,Start
100,Alabama,East South Central,5074296.0,"Daphne, Alabama",99887,Start
101,Alabama,East South Central,5074296.0,"Dauphin Island, Alabama",104909,Stub
102,Alabama,East South Central,5074296.0,"Daviston, Alabama",105156,Stub
103,Alabama,East South Central,5074296.0,"Deatsville, Alabama",104677,Stub
104,Alabama,East South Central,5074296.0,"Decatur, Alabama",104852,Start
105,Alabama,East South Central,5074296.0,"Demopolis, Alabama",104883,Stub
106,Alabama,East South Central,5074296.0,"Detroit, Alabama",104822,Start
107,Alabama,East South Central,5074296.0,"Dodge City, Alabama",104622,Stub
108,Alabama,East South Central,5074296.0,"Dora, Alabama",105170,Stub
109,Alabama,East South Central,5074296.0,"Dothan, Alabama",104633,Start
110,Alabama,East South Central,5074296.0,"Double Springs, Alabama",105190,Start
111,Alabama,East South Central,5074296.0,"Douglas, Alabama",104900,Start
112,Alabama,East South Central,5074296.0,"Dozier, Alabama",104610,Start
113,Alabama,East South Central,5074296.0,"Dutton, Alabama",104747,Start
114,Alabama,East South Central,5074296.0,"East Brewton, Alabama",104684,Stub
115,Alabama,East South Central,5074296.0,"Eclectic, Alabama",104678,Stub
116,Alabama,East South Central,5074296.0,"Edwardsville, Alabama",104576,Start
117,Alabama,East South Central,5074296.0,"Elba, Alabama",104580,Stub
118,Alabama,East South Central,5074296.0,"Elberta, Alabama",99888,Start
119,Alabama,East South Central,5074296.0,"Eldridge, Alabama",105171,Stub
120,Alabama,East South Central,5074296.0,"Elkmont, Alabama",104853,Stub
