Name,Rev_Ids
"Abbeville, Alabama",104730
"Adamsville, Alabama",104761
"Addison, Alabama",105188
"Akron, Alabama",104726
"Alabaster, Alabama",105109
"Albertville, Alabama",104899
"Alexander City, Alabama",105153
"Aliceville, Alabama",105086
"Allgood, Alabama",100811
"Altoona, Alabama",100812
"Andalusia, Alabama",104595
"Anderson, Lauderdale County, Alabama",46726043
"Anniston, Alabama",103733
"Arab, Alabama",104617
"Ardmore, Alabama",104850
"Argo, Alabama",104764
"Ariton, Alabama",104630
"Arley, Alabama",105189
"Ashford, Alabama",104734
"Ashland, Alabama",104574
"Ashville, Alabama",105125
"Athens, Alabama",104851
"Atmore, Alabama",104682
"Attalla, Alabama",104688
"Auburn, Alabama",104844
"Autaugaville, Alabama",99880
"Avon, Alabama",104735
"Babbie, Alabama",104596
"Baileyton, Alabama",104618
"Bakerhill, Alabama",6022587
"Banks, Alabama",105096
"Bay Minette, Alabama",99886
"Bayou La Batre, Alabama",104904
"Bear Creek, Alabama",104893
"Beatrice, Alabama",104923
"Beaverton, Alabama",104820
"Belk, Alabama",104700
"Benton, Alabama",104859
"Berlin, Alabama",23831085
"Berry, Alabama",104701
"Bessemer, Alabama",104765
"Billingsley, Alabama",99882
"Birmingham, Alabama",85427
"Black, Alabama",104712
"Blountsville, Alabama",100813
"Blue Springs, Alabama",100800
"Boaz, Alabama",104689
"Boligee, Alabama",104722
"Bon Air, Alabama",105142
"Brantley, Alabama",104609
"Brent, Alabama",100805
"Brewton, Alabama",104683
"Bridgeport, Alabama",104745
"Brighton, Alabama",104766
"Brilliant, Alabama",104894
"Brookside, Alabama",104767
"Brookwood, Alabama",105161
"Brundidge, Alabama",105098
"Butler, Alabama",104561
"Calera, Alabama",104556
"Camden, Alabama",105182
"Camp Hill, Alabama",105154
"Carbon Hill, Alabama",105168
"Cardiff, Alabama",104769
"Carolina, Alabama",104597
"Carrollton, Alabama",105087
"Castleberry, Alabama",104590
"Cedar Bluff, Alabama",104550
"Center Point, Alabama",104771
"Centre, Alabama",104551
"Centreville, Alabama",100806
"Chatom, Alabama",105178
"Chelsea, Alabama",105110
"Cherokee, Alabama",104584
"Chickasaw, Alabama",104905
"Childersburg, Alabama",105111
"Citronelle, Alabama",104907
"Clanton, Alabama",104557
"Clay, Alabama",104773
"Clayhatchee, Alabama",104631
"Clayton, Alabama",100801
"Cleveland, Alabama",100816
"Clio, Alabama",100802
"Coaling, Alabama",105162
"Coffee Springs, Alabama",104713
"Coffeeville, Alabama",104569
"Coker, Alabama",105163
"Collinsville, Alabama",104552
"Colony, Alabama",104620
"Columbia, Alabama",104736
"Columbiana, Alabama",105112
"Coosada, Alabama",104676
"Cordova, Alabama",105169
"Cottonwood, Alabama",104737
"County Line, Alabama",101154
"Courtland, Alabama",104839
"Cowarts, Alabama",104738
"Creola, Alabama",104908
"Crossville, Alabama",104660
"Cuba, Alabama",105135
