revision_id,page_title,state,article_quality,url
104730,"Abbeville, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Abbeville,_Alabama"
104761,"Adamsville, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Adamsville,_Alabama"
105188,"Addison, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Addison,_Alabama"
104726,"Akron, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Akron,_Alabama"
105109,"Alabaster, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Alabaster,_Alabama"
104899,"Albertville, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Albertville,_Alabama"
105153,"Alexander City, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Alexander_City,_Alabama"
105086,"Aliceville, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Aliceville,_Alabama"
100811,"Allgood, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Allgood,_Alabama"
100812,"Altoona, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Altoona,_Alabama"
104595,"Andalusia, Alabama",Alabama,B,"https://en.wikipedia.org/wiki/Andalusia,_Alabama"
46726043,"Anderson, Lauderdale County, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Anderson,_Lauderdale_County,_Alabama"
103733,"Anniston, Alabama",Alabama,B,"https://en.wikipedia.org/wiki/Anniston,_Alabama"
104617,"Arab, Alabama",Alabama,B,"https://en.wikipedia.org/wiki/Arab,_Alabama"
104850,"Ardmore, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Ardmore,_Alabama"
104764,"Argo, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Argo,_Alabama"
104630,"Ariton, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Ariton,_Alabama"
105189,"Arley, Alabama",Alabama,B,"https://en.wikipedia.org/wiki/Arley,_Alabama"
104734,"Ashford, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Ashford,_Alabama"
104574,"Ashland, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Ashland,_Alabama"
105125,"Ashville, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Ashville,_Alabama"
104851,"Athens, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Athens,_Alabama"
104682,"Atmore, Alabama",Alabama,Stub,"https://en.wikipedia.org/wiki/Atmore,_Alabama"
104688,"Attalla, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Attalla,_Alabama"
104844,"Auburn, Alabama",Alabama,Start,"https://en.wikipedia.org/wiki/Auburn,_Alabama"
