state,regional_division,population,article_title,revision_id,article_quality
Alabama,East South Central,5074296.0,"Abbeville, Alabama",104730,Stub
Alabama,East South Central,5074296.0,"Adamsville, Alabama",104761,Stub
Alabama,East South Central,5074296.0,"Addison, Alabama",105188,Stub
Alabama,East South Central,5074296.0,"Akron, Alabama",104726,Stub
Alabama,East South Central,5074296.0,"Alabaster, Alabama",105109,Stub
Alabama,East South Central,5074296.0,"Albertville, Alabama",104899,Stub
Alabama,East South Central,5074296.0,"Alexander City, Alabama",105153,Stub
Alabama,East South Central,5074296.0,"Aliceville, Alabama",105086,Start
Alabama,East South Central,5074296.0,"Allgood, Alabama",100811,Stub
Alabama,East South Central,5074296.0,"Altoona, Alabama",100812,Start
Alabama,East South Central,5074296.0,"Andalusia, Alabama",104595,B
Alabama,East South Central,5074296.0,"Anderson, Lauderdale County, Alabama",46726043,Start
Alabama,East South Central,5074296.0,"Anniston, Alabama",103733,B
Alabama,East South Central,5074296.0,"Arab, Alabama",104617,B
Alabama,East South Central,5074296.0,"Ardmore, Alabama",104850,Stub
Alabama,East South Central,5074296.0,"Argo, Alabama",104764,Stub
Alabama,East South Central,5074296.0,"Ariton, Alabama",104630,Start
Alabama,East South Central,5074296.0,"Arley, Alabama",105189,B
Alabama,East South Central,5074296.0,"Ashford, Alabama",104734,Stub
Alabama,East South Central,5074296.0,"Ashland, Alabama",104574,Stub
Alabama,East South Central,5074296.0,"Ashville, Alabama",105125,Start
Alabama,East South Central,5074296.0,"Athens, Alabama",104851,Stub
Alabama,East South Central,5074296.0,"Atmore, Alabama",104682,Stub
Alabama,East South Central,5074296.0,"Attalla, Alabama",104688,Start
Alabama,East South Central,5074296.0,"Auburn, Alabama",104844,Start
Alabama,East South Central,5074296.0,"Autaugaville, Alabama",99880,Start
Alabama,East South Central,5074296.0,"Avon, Alabama",104735,Stub
Alabama,East South Central,5074296.0,"Babbie, Alabama",104596,Start
Alabama,East South Central,5074296.0,"Baileyton, Alabama",104618,Stub
Alabama,East South Central,5074296.0,"Bakerhill, Alabama",6022587,Stub
Alabama,East South Central,5074296.0,"Banks, Alabama",105096,Start
Alabama,East South Central,5074296.0,"Bay Minette, Alabama",99886,Start
Alabama,East South Central,5074296.0,"Bayou La Batre, Alabama",104904,Start
Alabama,East South Central,5074296.0,"Bear Creek, Alabama",104893,Stub
Alabama,East South Central,5074296.0,"Beatrice, Alabama",104923,Stub
Alabama,East South Central,5074296.0,"Beaverton, Alabama",104820,Start
Alabama,East South Central,5074296.0,"Belk, Alabama",104700,Start
Alabama,East South Central,5074296.0,"Benton, Alabama",104859,Start
Alabama,East South Central,5074296.0,"Berlin, Alabama",23831085,FA
Alabama,East South Central,5074296.0,"Bessemer, Alabama",104765,Stub
Alabama,East South Central,5074296.0,"Billingsley, Alabama",99882,Stub
Alabama,East South Central,5074296.0,"Birmingham, Alabama",85427,Stub
Alabama,East South Central,5074296.0,"Blountsville, Alabama",100813,Stub
Alabama,East South Central,5074296.0,"Blue Springs, Alabama",100800,Start
Alabama,East South Central,5074296.0,"Boaz, Alabama",104689,Stub
Alabama,East South Central,5074296.0,"Boligee, Alabama",104722,Stub
Alabama,East South Central,5074296.0,"Bon Air, Alabama",105142,B
Alabama,East South Central,5074296.0,"Brantley, Alabama",104609,Stub
Alabama,East South Central,5074296.0,"Brent, Alabama",100805,Stub
Alabama,East South Central,5074296.0,"Brewton, Alabama",104683,Start
Alabama,East South Central,5074296.0,"Bridgeport, Alabama",104745,Start
Alabama,East South Central,5074296.0,"Brighton, Alabama",104766,B
Alabama,East South Central,5074296.0,"Brilliant, Alabama",104894,Stub
Alabama,East South Central,5074296.0,"Brookside, Alabama",104767,Stub
Alabama,East South Central,5074296.0,"Brookwood, Alabama",105161,Stub
Alabama,East South Central,5074296.0,"Brundidge, Alabama",105098,Start
Alabama,East South Central,5074296.0,"Butler, Alabama",104561,Stub
Alabama,East South Central,5074296.0,"Calera, Alabama",104556,Stub
Alabama,East South Central,5074296.0,"Camp Hill, Alabama",105154,B
